Date,Ticker,Returns,Volume,Price or Bid/Ask Average,Shares Outstanding,Turnover
2007-06-20,SUNW,-0.009804,69071171.0,5.05,3570245.0,3.8309582686791512
2007-06-21,SUNW,0.015842,97283756.0,5.13,3570245.0,5.311594898026789
2007-06-22,SUNW,-0.009747,54387070.0,5.08,3570245.0,2.99870629094986
2007-06-25,SUNW,-0.011811,63862639.0,5.02,3570245.0,3.5632404036865153
2007-06-26,SUNW,-0.001992,84930349.0,5.01,3570245.0,4.748179878148944
2007-06-27,SUNW,0.011976,74004771.0,5.07,3570245.0,4.088403393926167
2007-06-28,SUNW,0.017751,75411555.0,5.16,3570245.0,4.09345645519018
2007-06-29,SUNW,0.01938,104268786.0,5.26,3602000.0,5.503321243162333
2007-07-02,SUNW,-0.013308,67072753.0,5.19,3602000.0,3.5878565108872293
2007-07-03,SUNW,0.00578,28557718.0,5.22,3602000.0,1.5188304283912089
2007-07-05,SUNW,0.021073,47247231.0,5.33,3602000.0,2.460965036101478
2007-07-06,SUNW,0.009381,70359170.0,5.38,3602000.0,3.6307364351485854
2007-07-09,SUNW,-0.009294,91710082.0,5.33,3602000.0,4.776900158656907
2007-07-10,SUNW,-0.001876,114072156.0,5.32,3602000.0,5.952841362150518
2007-07-11,SUNW,0.011278,34458973.0,5.38,3602000.0,1.778182556572247
2007-07-12,SUNW,0.009294,39325554.0,5.43,3602000.0,2.0106260794340773
2007-07-13,SUNW,-0.01105,40410006.0,5.37,3602000.0,2.089156241566603
2007-07-16,SUNW,-0.005587,39208831.0,5.34,3602000.0,2.0384446738911177
2007-07-17,SUNW,-0.009363,81990391.0,5.29,3602000.0,4.302923024280776
2007-07-18,SUNW,-0.00189,75917820.0,5.28,3602000.0,3.9917754025541368
2007-07-19,SUNW,0.022727,80495782.0,5.4,3602000.0,4.138430398749666
2007-07-20,SUNW,-0.012963,48532988.0,5.33,3602000.0,2.527936220548726
2007-07-23,SUNW,-0.007505,40087872.0,5.29,3602000.0,2.1038444300530372
2007-07-24,SUNW,-0.011342,61939462.0,5.23,3602000.0,3.287925976964147
2007-07-25,SUNW,0.001912,53393610.0,5.24,3602000.0,2.828878464466306
2007-07-26,SUNW,-0.049618,80923390.0,4.98,3602000.0,4.511292811445672
2007-07-27,SUNW,-0.012048,77554120.0,4.92,3602000.0,4.37618892846341
2007-07-30,SUNW,-0.006098,122579569.0,4.89,3602000.0,6.95929942351954
2007-07-31,SUNW,0.042945,231079979.0,5.1,3602000.0,12.57906713046129
2007-08-01,SUNW,0,105071327.0,5.1,3602000.0,5.719661571458122
2007-08-02,SUNW,0.007843,99702672.0,5.14,3602000.0,5.385176847276805
2007-08-03,SUNW,-0.044747,98573906.0,4.91,3602000.0,5.573612419441112
2007-08-06,SUNW,0.010183,89586871.0,4.96,3602000.0,5.0144000980638
2007-08-07,SUNW,0.008065,88024889.0,5.0,3602000.0,4.887556302054414
2007-08-08,SUNW,0,69961413.0,5.0,3602000.0,3.8845870627429204
2007-08-09,SUNW,-0.052,132902726.0,4.74,3602000.0,7.784161518331354
2007-08-10,SUNW,-0.012658,177375887.0,4.68,3602000.0,10.522162841631193
2007-08-13,SUNW,0.010684,93773245.0,4.73,3602000.0,5.503945130318721
2007-08-14,SUNW,-0.006343,86069113.0,4.7,3602000.0,5.084002563587605
2007-08-15,SUNW,-0.010638,75745754.0,4.65,3602000.0,4.522323559790558
2007-08-16,SUNW,0.015054,154885756.0,4.72,3602000.0,9.110155139799923
2007-08-17,SUNW,0.010593,90212666.0,4.77,3602000.0,5.250557633366974
2007-08-20,SUNW,0.008386,62556753.0,4.81,3602000.0,3.6106501816385212
2007-08-21,SUNW,0.006237,48915062.0,4.84,3602000.0,2.8057795026638095
2007-08-22,SUNW,0.004132,72280414.0,4.86,3537517.0,4.204223801249373
2007-08-23,SUNW,0.014403,92741606.0,4.93,3537517.0,5.3177651971759445
2007-08-24,SUNW,0.016227,201608312.0,5.01,3537517.0,11.375543930932393
2007-08-27,JAVA,0.025948,61834973.0,5.14,3537517.0,3.400732883857536
2007-08-28,JAVA,-0.015564,91731173.0,5.06,3537517.0,5.124693483085886
2007-08-29,JAVA,0.021739,70519848.0,5.17,3537517.0,3.855869161315795
2007-08-30,JAVA,0.015474,106353767.0,5.25,3537517.0,5.726576121316839
2007-08-31,JAVA,0.020952,75435200.0,5.36,3537517.0,3.9784208367856837
2007-09-04,JAVA,0.026119,102799960.0,5.5,3537517.0,5.283621765826657
2007-09-05,JAVA,-0.023636,82320659.0,5.37,3537517.0,4.333472222848874
2007-09-06,JAVA,0.020484,99629818.0,5.48,3537517.0,5.13937423413873
2007-09-07,JAVA,-0.020073,76773736.0,5.37,3537517.0,4.041474599958349
2007-09-10,JAVA,0.003724,74942594.0,5.39,3414726.0,4.071778030793023
2007-09-11,JAVA,0.059369,109592109.0,5.71,3414726.0,5.620659998892014
2007-09-12,JAVA,-0.008757,161391573.0,5.66,3414726.0,8.350424658028995
2007-09-13,JAVA,0.024735,75941767.0,5.8,3414726.0,3.834394942214478
2007-09-14,JAVA,-0.012069,74946952.0,5.73,3414726.0,3.830394384480312
2007-09-17,JAVA,-0.006981,66072953.0,5.69,3414726.0,3.400600305172403
2007-09-18,JAVA,0.015817,72649408.0,5.78,3414726.0,3.680852206034629
2007-09-19,JAVA,0.00519,70409799.0,5.81,3414726.0,3.5489600517845408
2007-09-20,JAVA,-0.017212,88217152.0,5.71,3414726.0,4.5244007254443535
2007-06-20,ORCL,-0.017606,35320977.0,19.53,5107000.0,0.3541315389828184
2007-06-21,ORCL,0.00768,27977335.0,19.68,5107000.0,0.278365488704329
2007-06-22,ORCL,-0.014736,39774279.0,19.39,5107000.0,0.40166006006782345
2007-06-25,ORCL,0.004642,28377705.0,19.48,5113036.0,0.28491116373148667
2007-06-26,ORCL,-0.016427,49101092.0,19.16,5113036.0,0.5012066165589224
2007-06-27,ORCL,0.027662,76882547.0,19.69,5113036.0,0.7636655435141042
2007-06-28,ORCL,0.008126,46569356.0,19.85,5113036.0,0.4588395768305159
2007-06-29,ORCL,-0.007053,31570029.0,19.71,5113036.0,0.31326329093287525
2007-07-02,ORCL,0.010655,23964871.0,19.92,5113036.0,0.23529186438201677
2007-07-03,ORCL,0.00753,18841191.0,20.07,5113036.0,0.1836039960513791
2007-07-05,ORCL,0.020927,36517746.0,20.49,5113036.0,0.3485645007017272
2007-07-06,ORCL,-0.004392,26816431.0,20.4,5113036.0,0.2570940105590004
2007-07-09,ORCL,-0.011765,27474285.0,20.16,5113036.0,0.2665367026464083
2007-07-10,ORCL,-0.021825,29270618.0,19.72,5113036.0,0.29029939503779967
2007-07-11,ORCL,0.013185,30340439.0,19.98,5113036.0,0.29699389765503126
2007-07-12,ORCL,0.026026,35992180.0,20.5,5113036.0,0.3433803512357385
2007-07-13,ORCL,-0.004878,23165421.0,20.4,5113036.0,0.2220911123921632
2007-07-16,ORCL,-0.009804,19840982.0,20.2,5113036.0,0.19210246743484072
2007-07-17,ORCL,0.008911,21767537.0,20.38,5113036.0,0.20889414193635944
2007-07-18,ORCL,0.001472,30676942.0,20.41,5113036.0,0.2939613342953898
2007-07-19,ORCL,0.009309,29326436.0,20.6,5113036.0,0.2784281976614779
2007-07-20,ORCL,0.000485,43966301.0,20.61,5113036.0,0.4172180476770579
2007-07-23,ORCL,0.008248,29403577.0,20.78,5113036.0,0.27674244438078827
2007-07-24,ORCL,-0.006742,39464539.0,20.6399,5113036.0,0.37395607659118124
2007-07-25,ORCL,-0.002902,31017782.0,20.58,5113036.0,0.29477219702721097
2007-07-26,ORCL,-0.027697,41746588.0,20.01,5113036.0,0.4080327728714533
2007-07-27,ORCL,-0.01949,32635822.0,19.62,5113036.0,0.3253244484720301
2007-07-30,ORCL,-0.002039,21879803.0,19.58,5113036.0,0.21855053271149152
2007-07-31,ORCL,-0.023493,36010755.0,19.12,5113036.0,0.3683540832265837
2007-08-01,ORCL,0.035042,54925805.0,19.79,5113036.0,0.5428149320745769
2007-08-02,ORCL,0.015159,31451214.0,20.09,5113036.0,0.30618127440263293
2007-08-03,ORCL,-0.021404,35123954.0,19.66,5113036.0,0.34941459036288053
2007-08-06,ORCL,0.021363,29760940.0,20.08,5113036.0,0.2898705438210125
2007-08-07,ORCL,-0.01992,34504283.0,19.68,5113036.0,0.34290124548343215
2007-08-08,ORCL,0.026423,26724973.0,20.2,5113036.0,0.2587539898695285
2007-08-09,ORCL,-0.005446,33655638.0,20.09,5113036.0,0.32764160180505847
2007-08-10,ORCL,-0.004978,36769869.0,19.99,5113036.0,0.3597496979442917
2007-08-13,ORCL,-0.013507,22088847.0,19.72,5113036.0,0.21907220821858
2007-08-14,ORCL,-0.018763,22266324.0,19.35,5113036.0,0.2250550198755986
2007-08-15,ORCL,-0.008786,27899662.0,19.18,5113036.0,0.2844929368260318
2007-08-16,ORCL,-0.002086,42542572.0,19.14,5113036.0,0.4347133310191387
2007-08-17,ORCL,0.010972,36241021.0,19.35,5113036.0,0.36630310874246624
2007-08-20,ORCL,-0.012403,23960851.0,19.11,5113036.0,0.24522384682627194
2007-08-21,ORCL,0.008373,23766798.0,19.27,5113036.0,0.24121822080042282
2007-08-22,ORCL,0.002595,23880267.0,19.32,5113036.0,0.2417426094000264
2007-08-23,ORCL,0.002588,31206257.0,19.37,5113036.0,0.31508897655530055
2007-08-24,ORCL,0.029427,26750784.0,19.94,5113036.0,0.2623810768543435
2007-08-27,ORCL,-0.004012,18113292.0,19.86,5113036.0,0.17837717993735763
2007-08-28,ORCL,-0.025176,22172198.0,19.36,5113036.0,0.22398789313375161
2007-08-29,ORCL,0.039773,30989623.0,20.13,5113036.0,0.3010881529731817
2007-08-30,ORCL,0.003974,30460063.0,20.21,5113036.0,0.29477159622494464
2007-08-31,ORCL,0.003464,24052899.0,20.28,5117000.0,0.23178432374738805
2007-09-04,ORCL,0.021696,36786550.0,20.72,5117000.0,0.3469635811584219
